R_seg,1.Active,1.Active,1.Active,1.Active,1.Active,2.At Risk,2.At Risk,2.At Risk,2.At Risk,2.At Risk,3.Churn,3.Churn,3.Churn,3.Churn,3.Churn
FM_seg,0.Standard,1.Silver,1.Silverf,2.Gold,4.Premium,0.Standard,1.Silver,1.Silverf,2.Gold,4.Premium,0.Standard,1.Silver,1.Silverf,2.Gold,4.Premium
recency,11.890020366598778,12.22801302931596,12.026666666666667,11.886559139784946,10.60506424792139,121.96396745447501,114.29879518072289,98.22522522522523,97.7164437840515,73.34646581691773,351.5110187110187,330.3089005235602,342.7877094972067,323.2649572649573,279.6115702479339
monetary_value,102.13468431771894,242.71913680781748,578.5002666666667,956.7857795698917,4600.887834467114,98.56091049980591,238.873325301205,549.7856081081082,1030.6078603268943,3196.1145365005773,94.66442411642379,233.2518128272253,597.6913966480446,1228.3684686609686,9816.190247933884
frequency,1.0,1.5960912052117264,1.0,4.355376344086022,17.181783824640966,1.0,1.5092369477911647,1.0,3.8741951461119366,11.850521436848204,1.0,1.4797120418848169,1.0,3.2927350427350426,9.859504132231406
item_cnt,8.152749490835031,16.2442996742671,32.32,55.266129032258064,281.46523053665913,8.047655947307245,16.59036144578313,21.34009009009009,54.03739474987618,196.28041714947855,8.594594594594595,17.469895287958114,23.223463687150836,44.083333333333336,347.8429752066116
no_SKUs,4.472505091649695,8.846905537459284,6.933333333333334,26.863978494623655,122.12320483749055,4.33010461061604,8.208433734939758,5.54054054054054,23.557206537890046,81.53592120509849,4.600831600831601,8.229712041884817,5.083798882681564,15.744301994301994,71.99173553719008
no_Categories,1.9022403258655805,3.4348534201954397,2.24,10.240322580645161,45.89380196523054,1.8136381247578457,3.110441767068273,1.8581081081081081,8.823179791976226,30.299536500579375,2.095218295218295,3.3285340314136125,2.005586592178771,6.8924501424501425,23.958677685950413
avg_no_prds_w_ret,8.152749490835031,10.463355048859935,32.32,13.487218226793019,15.871176398856758,8.047655947307245,11.392302543508837,21.34009009009009,15.129560740352197,16.38843718460833,8.594594594594595,11.961627399653143,23.223463687150836,15.003832869563384,24.60525531487604
Flag_Multi_cat_p2,0.5356415478615071,0.7214983713355049,0.5333333333333333,0.9258064516129032,0.9886621315192744,0.4192173576133282,0.5465863453815261,0.38963963963963966,0.75037147102526,0.9015063731170336,0.0,0.0,0.0,0.0,0.0
